subject,block,rt,response,duration,hist,rsi
1,3,0.4892305,0,0.2,R,1.9
1,3,0.6088565,0,0.4,R,1.6
1,3,0.3528441,0,0.3,R,1.9
1,3,0.2739253,1,0.8,R,1.3
1,3,0.6287464,1,0.5,R,1.8
1,3,0.4690452,0,0.2,R,1.4
1,3,0.4245389,0,0.2,R,1.6
1,3,0.2918727,1,0.6,R,1.8
1,3,0.301657,0,0.3,R,1.6
1,3,0.2730568,1,0.5,R,1.8
1,3,0.4460036,0,0.3,R,2.3
1,3,0.4169956,0,0.4,R,1.3
1,3,0.4101199,0,0.4,R,2.1
1,3,0.3251788,0,0.3,R,2.3
1,3,0.3494131,0,0.5,R,2.1
1,3,0.3451591,1,0.3,R,1.1
1,3,0.3212488,0,0.3,R,1.4
1,3,0.1567912,1,0.8,R,1.8
1,3,0.4968159,0,0.4,R,1.9
1,3,0.3251559,0,0.3,R,2.1
1,3,0.1491144,1,0.7,R,1.3
1,3,0.2530806,1,0.7,R,1.4
1,3,0.2978095,1,0.7,R,1.9
1,3,0.4405769,0,0.2,R,1.3
1,3,0.2848437,1,0.5,R,2.1
1,3,0.3332797,1,0.7,R,1.3
1,3,0.1614215,1,0.8,R,0.9
1,4,0.4119698,1,0.7,R,1.6
1,4,0.4889415,0,0.7,R,1.1
1,4,0.3009775,0,0.3,R,1.1
1,4,0.5809296,0,0.5,R,1.6
1,4,0.2840343,1,0.7,R,2.1
1,4,0.3423984,1,0.3,R,1.4
1,4,0.5809328,0,0.4,R,1.3
1,4,0.3989288,0,0.4,R,1.3
1,4,0.4772546,0,0.4,R,1.4
1,4,0.4211892,0,0.2,R,1.9
1,4,0.336967,1,0.7,R,1.4
1,4,0.2377904,0,0.2,R,0.9
1,4,0.321152,1,0.6,R,1.9
1,4,0.4491169,1,0.4,R,1.4
1,4,0.2577653,1,0.7,R,1.4
1,4,0.293209,1,0.5,R,1.6
1,4,0.3118551,1,0.6,R,1.1
1,4,0.6767676,0,0.5,R,1.1
1,4,0.3900499,0,0.4,R,1.6
1,4,0.4128113,0,0.3,R,1.3
1,4,0.5930297,0,0.6,R,2.1
1,4,0.4407639,0,0.6,R,2.3
